timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727285642648,2700,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-28,text,false,,3490,0,50,50,https://eticket.railway.gov.bd/,0,0,218
1727285642930,2418,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-42,text,false,,3490,0,50,50,https://eticket.railway.gov.bd/,0,0,293
1727285642690,2659,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-30,text,false,,3579,0,50,50,https://eticket.railway.gov.bd/,0,0,680
1727285643088,2269,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-50,text,false,,3490,0,47,47,https://eticket.railway.gov.bd/,0,0,1163
1727285642451,2907,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-18,text,false,,3490,0,47,47,https://eticket.railway.gov.bd/,0,0,1018
1727285642308,3053,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-11,text,false,,3490,0,45,45,https://eticket.railway.gov.bd/,0,0,138
1727285642789,2579,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-35,text,false,,3423,0,44,44,https://eticket.railway.gov.bd/,0,0,2579
1727285642989,2379,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-45,text,false,,3512,0,44,44,https://eticket.railway.gov.bd/,0,0,2379
1727285642971,2399,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-44,text,false,,3490,0,42,42,https://eticket.railway.gov.bd/,0,0,2142
1727285642550,2826,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-23,text,false,,2363,0,41,41,https://eticket.railway.gov.bd/,0,0,2826
1727285642508,2868,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-21,text,false,,3490,0,41,41,https://eticket.railway.gov.bd/,0,0,226
1727285642411,2378,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-16,text,true,,10899,648,39,39,https://eticket.railway.gov.bd/,2378,0,277
1727285642411,2378,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-16,text,true,,10899,648,39,39,https://eticket.railway.gov.bd/,2378,0,277
1727285642829,2549,https://eticket.railway.gov.bd/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-37,text,false,,2363,0,39,39,https://eticket.railway.gov.bd/,0,0,2549
1727285643029,2108,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-47,text,true,,10899,648,39,39,https://eticket.railway.gov.bd/,2108,0,1025
1727285642769,1838,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-34,text,true,,10899,648,39,39,https://eticket.railway.gov.bd/,1838,0,345
1727285643029,2108,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-47,text,true,,10899,648,39,39,https://eticket.railway.gov.bd/,2108,0,1025
1727285642769,1838,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-34,text,true,,10899,648,39,39,https://eticket.railway.gov.bd/,1838,0,345
1727285642611,751,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-26,text,true,,10899,648,38,38,https://eticket.railway.gov.bd/,751,0,538
1727285642611,751,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-26,text,true,,10899,648,38,38,https://eticket.railway.gov.bd/,751,0,538
1727285642373,1540,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-14,text,true,,10899,648,38,38,https://eticket.railway.gov.bd/,1463,0,1173
1727285642373,1540,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-14,text,true,,10899,648,38,38,https://eticket.railway.gov.bd/,1463,0,1173
1727285642708,395,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-31,text,true,,10899,648,37,37,https://eticket.railway.gov.bd/,395,0,218
1727285642708,395,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-31,text,true,,10899,648,37,37,https://eticket.railway.gov.bd/,395,0,218
1727285642528,1918,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-22,text,true,,10899,648,37,37,https://eticket.railway.gov.bd/,1918,0,1372
1727285642528,1918,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-22,text,true,,10899,648,37,37,https://eticket.railway.gov.bd/,1918,0,1372
1727285642489,2414,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-20,text,true,,10899,648,35,35,https://eticket.railway.gov.bd/,2414,0,2113
1727285642489,2414,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-20,text,true,,10899,648,35,35,https://eticket.railway.gov.bd/,2414,0,2113
1727285642430,1688,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-17,text,true,,10899,648,34,34,https://eticket.railway.gov.bd/,1688,0,356
1727285642430,1688,https://eticket.railway.gov.bd/-0,200,OK,Thread Group 1-17,text,true,,10899,648,34,34,https://eticket.railway.gov.bd/,1688,0,356
1727285642851,779,https://eticket.railway.gov.bd/,200,OK,Thread Group 1-38,text,true,,10899,648,33,33,https://eticket.railway.gov.bd/,779,0,257
